name,set,availability,rarity,rating,num_votes,categories,pic
Hypersonic,Boundless,Shop,Legendary,3.3,184.0,"['Built-in', 'Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/09/fortnite-hypersonic-featured-300x300.png
Ice Intercept,Permafrost,Shop,Uncommon,2.7,659.0,['Female'],https://progameguides.com/wp-content/uploads/2020/01/fortnite-ice-intercept-skin-icon-300x300.png
Diamond Diva,Encrusted,Bundle,Rare,3.8,258.0,"['Female', 'Starter Pack']",https://progameguides.com/wp-content/uploads/2020/11/fortnite-ice-raider-icon-300x300.png
Ice Stalker,Permafrost,Shop,Uncommon,2.5,559.0,['Male'],https://progameguides.com/wp-content/uploads/2020/01/fortnite-ice-stalker-skin-icon-300x300.png
Imperial Stormtrooper,Original Trilogy,Shop,Star Wars,3.9,2600.0,"['Crossover', 'Male']",https://progameguides.com/wp-content/uploads/2019/11/fortnite-imperial-stormtrooper-skin-icon-300x300.png
Indigo Kuno,Falcon Clan,Promotion,Epic,3.8,231.0,['Female'],https://progameguides.com/wp-content/uploads/2020/11/fortnite-indigo-kuna-icon-300x300.png
Inferno,Inferno,Bundle,Legendary,3.9,6700.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-inferno-featured-png-300x300.png
Infiltrator,Infiltrator,Shop,Rare,2.4,3100.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-infiltrator-featured-png-300x300.png
Infinity,Star Walker,Shop,Epic,3.8,2500.0,['Male'],https://progameguides.com/wp-content/uploads/2019/08/fortnite-infinity-skin-featured-300x300.png
Instinct,Counterattack,Shop,Rare,3.6,5300.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-instinct-featured-png-300x300.png
Interceptor,Fourth Down,Shop,Epic,2.5,2400.0,"['Crossover', 'Female', 'Football', 'Sports', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-interceptor-featured-png-300x300.png
Iris,Vivid Vision,Bundle,Rare,3.8,2600.0,"['Female', 'Starter Pack', 'Styles']",https://progameguides.com/wp-content/uploads/2020/01/fortnite-iris-outfit-featured-150x300.png
